Date,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2020-06-30,0.3881265338016451,0.3075186195110857,0.3065730320456702,0.28847428431037553
2020-07-01,0.38613001160397403,0.3086091859884097,0.2973067741736464,0.2885307425379734
2020-07-02,0.3803007619996953,0.320569606719949,0.2971910060977979,0.30011228559322367
2020-07-03,0.3855900871146934,0.32070456849005646,0.2981358811595808,0.30032166092821105
2020-07-06,0.37731848264343376,0.31181330023517206,0.3058144011206243,0.30762804428749674
2020-07-07,0.3773672721239544,0.32165028807845314,0.31121399195134086,0.28029359611689775
2020-07-08,0.34486177268227375,0.31956518474348894,0.3172717566353763,0.2798483793230553
2020-07-09,0.32522357763503373,0.3199102862277613,0.31631895185226916,0.28117218678862954
2020-07-10,0.3323543865703917,0.31743813045749436,0.3201251801303866,0.27536558631172875
2020-07-13,0.3268361923331639,0.31965023176025065,0.31456938584624916,0.2575645747833707
2020-07-14,0.3319242351704834,0.32491010836865847,0.31865540179457785,0.267238992959887
2020-07-15,0.3275187946446595,0.3623224642695696,0.34518335315815796,0.27791456779828394
2020-07-16,0.3218708093382296,0.4472659472001039,0.34119760025485096,0.2719445323905357
2020-07-17,0.3236687636820271,0.4481018557900235,0.35288056240417276,0.2683301728575211
2020-07-20,0.3291577611394226,0.45204785841159323,0.3503232418910338,0.2670245763335356
2020-07-21,0.3148614380525408,0.45065793016960326,0.3446729913214615,0.2673952546550721
2020-07-22,0.31812199514060907,0.45752279524785827,0.3429142238554767,0.26829999321918424
2020-07-23,0.3069866389378572,0.4550402915259462,0.33437076329626564,0.26284520168649
2020-07-24,0.3088100072728982,0.4488230848743377,0.3413119914968623,0.2599637815295623
2020-07-27,0.3108927567025324,0.44884595505369596,0.34125158024964136,0.2659458906674886
2020-07-28,0.2891645520910684,0.4482632296450502,0.3403887372685889,0.2943579316988243
2020-07-29,0.29424537012269236,0.45154516364935665,0.3659558786439513,0.2992976050953313
2020-07-30,0.2738668335458854,0.4514596668374548,0.36289343195403573,0.2982997495321467
2020-07-31,0.2762996810588366,0.4469763906260416,0.33364032013989514,0.2984322030191456
2020-08-03,0.2894263320317415,0.4491921345655916,0.34585617411078373,0.2999648636867551
2020-08-04,0.3098290816246157,0.4502790273989787,0.3891309782831377,0.3004280065244074
2020-08-05,0.31116680475652797,0.44910385049171436,0.39293863738505913,0.300435483543103
2020-08-06,0.3131261766283146,0.44341794907192195,0.3911532951457916,0.3006051087960196
2020-08-07,0.3031501242343606,0.41849017525699506,0.3907503389097456,0.26797630074922707
2020-08-10,0.2986449956687319,0.4093050497639167,0.39149359255041644,0.26713981212096
2020-08-11,0.3008570446621964,0.4107214746268258,0.3876032562143094,0.26494846636557695
2020-08-12,0.2963820695637628,0.40853657049248965,0.38719483268092925,0.26760620140847613
2020-08-13,0.29621331620471797,0.40343868678523015,0.3869987598177423,0.2538837476326171
2020-08-14,0.3008949801969594,0.4037458712556002,0.3871416016868577,0.24877495550611808
2020-08-17,0.2888398982898301,0.4034932605040219,0.37930852713450236,0.23459298408639104
2020-08-18,0.2976672439845178,0.39235543007926643,0.37542276343721487,0.23538753631389733
2020-08-19,0.298852783051821,0.3838967460914592,0.37096633728735745,0.22623098395649827
2020-08-20,0.29617746965798647,0.38535917824190924,0.3754316082185586,0.22530299946860927
2020-08-21,0.30225787803522375,0.38691246244843736,0.3695946085642133,0.22436642439368595
